Genre,AvgRating,AvgReviewLength
Real Time Strategy,3.6599999904632567,900.3
Adventure,3.8005174622807125,1181.1073738680466
Brawler,3.773809532324473,1148.6507936507937
Arcade,3.6339622556038624,963.0754716981132
MOBA,2.0999999046325684,513.0
Turn Based Strategy,3.993749972432852,1338.828125
Racing,3.635294128866757,904.7647058823529
Card & Board Game,3.6846153919513407,973.8461538461538
Pinball,3.5,16.0
Shooter,3.69267399428965,1126.985347985348
Tactical,3.7174999892711638,1372.225
Quiz/Trivia,3.400000015894572,179.66666666666666
Music,3.6800000429153443,1054.05
Point-and-Click,3.734482773419084,1196.5172413793102
Platform,3.743629336817384,1266.054054054054
Puzzle,3.826717564167867,1101.1221374045801
Simulator,3.762637358445388,1115.6813186813188
"",3.700000047683716,178.0
Fighting,3.486206897373857,930.7586206896551
Strategy,3.659574450330531,1077.468085106383
Sport,3.4812500178813934,947.625
Indie,3.7162895774409783,1129.8597285067874
Visual Novel,3.9749999897820607,1044.8035714285713
RPG,3.864010273950572,1248.0231362467866
